Iteration 2, Warp ID: 64, Weight: 1.953125e-03, CVs: pc1=0.65
Iteration 3, Warp ID: 160, Weight: 3.906250e-04, CVs: pc1=1.09
Iteration 3, Warp ID: 129, Weight: 2.441406e-04, CVs: pc1=0.88
Iteration 3, Warp ID: 164, Weight: 3.906250e-04, CVs: pc1=1.23
Iteration 3, Warp ID: 165, Weight: 6.510417e-04, CVs: pc1=1.06
Iteration 3, Warp ID: 166, Weight: 6.510417e-04, CVs: pc1=1.05
Iteration 3, Warp ID: 167, Weight: 6.510417e-04, CVs: pc1=1.07
Iteration 3, Warp ID: 173, Weight: 2.441406e-04, CVs: pc1=0.87
Iteration 3, Warp ID: 174, Weight: 2.441406e-04, CVs: pc1=0.94
Iteration 3, Warp ID: 145, Weight: 6.510417e-04, CVs: pc1=0.90
Iteration 3, Warp ID: 115, Weight: 1.562500e-03, CVs: pc1=1.26
Iteration 3, Warp ID: 151, Weight: 6.510417e-04, CVs: pc1=1.19
Iteration 3, Warp ID: 156, Weight: 2.441406e-04, CVs: pc1=0.93
Iteration 3, Warp ID: 159, Weight: 2.441406e-04, CVs: pc1=0.67
Iteration 4, Warp ID: 129, Weight: 5.208333e-04, CVs: pc1=0.64
Iteration 4, Warp ID: 135, Weight: 2.441406e-04, CVs: pc1=0.73
Iteration 4, Warp ID: 142, Weight: 1.220703e-04, CVs: pc1=0.82
Iteration 4, Warp ID: 144, Weight: 3.906250e-04, CVs: pc1=0.66
Iteration 4, Warp ID: 161, Weight: 3.906250e-04, CVs: pc1=0.82
Iteration 4, Warp ID: 167, Weight: 2.441406e-04, CVs: pc1=0.58
Iteration 4, Warp ID: 176, Weight: 9.765625e-04, CVs: pc1=0.82
Iteration 4, Warp ID: 177, Weight: 9.765625e-04, CVs: pc1=0.63
Iteration 4, Warp ID: 179, Weight: 1.220703e-04, CVs: pc1=0.93
Iteration 4, Warp ID: 180, Weight: 1.220703e-04, CVs: pc1=0.57
Iteration 4, Warp ID: 181, Weight: 1.220703e-04, CVs: pc1=1.06
Iteration 4, Warp ID: 182, Weight: 1.220703e-04, CVs: pc1=0.89
Iteration 4, Warp ID: 183, Weight: 2.441406e-04, CVs: pc1=1.07
Iteration 4, Warp ID: 187, Weight: 8.138021e-05, CVs: pc1=0.86
Iteration 4, Warp ID: 188, Weight: 8.138021e-05, CVs: pc1=1.14
Iteration 4, Warp ID: 192, Weight: 2.170139e-04, CVs: pc1=1.34
Iteration 4, Warp ID: 193, Weight: 2.170139e-04, CVs: pc1=1.01
Iteration 4, Warp ID: 195, Weight: 8.138021e-05, CVs: pc1=0.83
Iteration 4, Warp ID: 198, Weight: 1.953125e-04, CVs: pc1=0.72
Iteration 4, Warp ID: 199, Weight: 1.953125e-04, CVs: pc1=0.90
Iteration 4, Warp ID: 205, Weight: 1.395089e-04, CVs: pc1=0.76
Iteration 4, Warp ID: 207, Weight: 1.395089e-04, CVs: pc1=0.81
Iteration 4, Warp ID: 220, Weight: 6.103516e-05, CVs: pc1=0.86
Iteration 4, Warp ID: 221, Weight: 6.103516e-05, CVs: pc1=0.69
Iteration 4, Warp ID: 222, Weight: 6.103516e-05, CVs: pc1=1.04
Iteration 4, Warp ID: 223, Weight: 6.103516e-05, CVs: pc1=1.19
Iteration 4, Warp ID: 226, Weight: 1.220703e-04, CVs: pc1=1.13
Iteration 4, Warp ID: 227, Weight: 1.220703e-04, CVs: pc1=1.00
Iteration 4, Warp ID: 228, Weight: 2.441406e-04, CVs: pc1=1.12
Iteration 4, Warp ID: 127, Weight: 2.441406e-04, CVs: pc1=0.61
Iteration 5, Warp ID: 128, Weight: 2.441406e-04, CVs: pc1=0.60
Iteration 5, Warp ID: 138, Weight: 1.220703e-04, CVs: pc1=1.16
Iteration 5, Warp ID: 142, Weight: 1.116071e-04, CVs: pc1=0.71
Iteration 5, Warp ID: 143, Weight: 1.116071e-04, CVs: pc1=0.79
Iteration 5, Warp ID: 144, Weight: 2.170139e-04, CVs: pc1=1.17
Iteration 5, Warp ID: 148, Weight: 4.882812e-04, CVs: pc1=1.00
Iteration 5, Warp ID: 161, Weight: 2.115885e-03, CVs: pc1=1.00
Iteration 5, Warp ID: 164, Weight: 2.232143e-04, CVs: pc1=0.61
Iteration 5, Warp ID: 167, Weight: 8.138021e-05, CVs: pc1=0.96
Iteration 5, Warp ID: 169, Weight: 1.395089e-04, CVs: pc1=0.58
Iteration 5, Warp ID: 173, Weight: 1.395089e-04, CVs: pc1=0.81
Iteration 5, Warp ID: 177, Weight: 2.441406e-04, CVs: pc1=0.88
Iteration 5, Warp ID: 179, Weight: 5.208333e-04, CVs: pc1=0.83
Iteration 5, Warp ID: 181, Weight: 5.208333e-04, CVs: pc1=0.98
Iteration 5, Warp ID: 183, Weight: 1.395089e-04, CVs: pc1=0.63
Iteration 5, Warp ID: 189, Weight: 8.138021e-05, CVs: pc1=0.91
Iteration 5, Warp ID: 192, Weight: 1.085069e-04, CVs: pc1=1.01
Iteration 5, Warp ID: 202, Weight: 8.138021e-05, CVs: pc1=1.19
Iteration 5, Warp ID: 210, Weight: 3.487723e-05, CVs: pc1=0.92
Iteration 5, Warp ID: 212, Weight: 6.103516e-05, CVs: pc1=1.01
Iteration 5, Warp ID: 217, Weight: 3.188776e-05, CVs: pc1=0.92
Iteration 5, Warp ID: 219, Weight: 3.188776e-05, CVs: pc1=0.99
Iteration 5, Warp ID: 221, Weight: 3.188776e-05, CVs: pc1=1.15
Iteration 5, Warp ID: 224, Weight: 4.069010e-04, CVs: pc1=0.89
Iteration 5, Warp ID: 228, Weight: 5.628798e-04, CVs: pc1=1.12
Iteration 5, Warp ID: 114, Weight: 2.441406e-04, CVs: pc1=0.62
Iteration 6, Warp ID: 142, Weight: 3.255208e-04, CVs: pc1=1.00
Iteration 6, Warp ID: 144, Weight: 2.083333e-03, CVs: pc1=0.65
Iteration 6, Warp ID: 154, Weight: 9.765625e-04, CVs: pc1=0.57
Iteration 6, Warp ID: 157, Weight: 1.220703e-04, CVs: pc1=1.01
Iteration 6, Warp ID: 164, Weight: 4.650298e-04, CVs: pc1=1.14
Iteration 6, Warp ID: 165, Weight: 2.232143e-04, CVs: pc1=0.82
Iteration 6, Warp ID: 173, Weight: 2.034505e-05, CVs: pc1=0.73
Iteration 6, Warp ID: 176, Weight: 4.069010e-05, CVs: pc1=0.82
Iteration 6, Warp ID: 183, Weight: 3.487723e-05, CVs: pc1=1.05
Iteration 6, Warp ID: 190, Weight: 6.103516e-05, CVs: pc1=0.80
Iteration 6, Warp ID: 203, Weight: 6.377551e-06, CVs: pc1=0.81
Iteration 6, Warp ID: 204, Weight: 6.377551e-06, CVs: pc1=0.55
Iteration 6, Warp ID: 205, Weight: 6.377551e-06, CVs: pc1=0.95
Iteration 6, Warp ID: 207, Weight: 6.377551e-06, CVs: pc1=0.67
Iteration 6, Warp ID: 214, Weight: 6.103516e-05, CVs: pc1=1.05
