Iteration 9, Warp ID: 120, Weight: 1.356337e-05, CVs: pc1=0.86, pc2=0.08
Iteration 9, Warp ID: 129, Weight: 1.017253e-05, CVs: pc1=0.86, pc2=0.06
Iteration 9, Warp ID: 128, Weight: 1.017253e-05, CVs: pc1=0.88, pc2=0.04
Iteration 10, Warp ID: 135, Weight: 1.017253e-05, CVs: pc1=0.86, pc2=0.06
Iteration 10, Warp ID: 136, Weight: 3.051758e-05, CVs: pc1=0.86, pc2=0.10
Iteration 10, Warp ID: 110, Weight: 1.118978e-04, CVs: pc1=0.75, pc2=0.02
Iteration 10, Warp ID: 112, Weight: 1.017253e-05, CVs: pc1=0.76, pc2=0.09
Iteration 10, Warp ID: 116, Weight: 2.170139e-04, CVs: pc1=0.78, pc2=0.00
Iteration 10, Warp ID: 117, Weight: 2.170139e-04, CVs: pc1=0.81, pc2=0.01
Iteration 10, Warp ID: 118, Weight: 2.170139e-04, CVs: pc1=0.82, pc2=0.00
Iteration 10, Warp ID: 120, Weight: 1.017253e-05, CVs: pc1=1.00, pc2=0.24
Iteration 10, Warp ID: 122, Weight: 5.425347e-05, CVs: pc1=0.74, pc2=0.06
Iteration 10, Warp ID: 123, Weight: 5.425347e-05, CVs: pc1=0.76, pc2=0.06
Iteration 10, Warp ID: 127, Weight: 1.356337e-05, CVs: pc1=0.81, pc2=0.01
Iteration 11, Warp ID: 132, Weight: 2.983941e-04, CVs: pc1=0.79, pc2=0.00
Iteration 11, Warp ID: 133, Weight: 2.983941e-04, CVs: pc1=0.88, pc2=0.05
Iteration 11, Warp ID: 142, Weight: 1.017253e-05, CVs: pc1=0.86, pc2=0.03
Iteration 11, Warp ID: 121, Weight: 2.170139e-04, CVs: pc1=0.80, pc2=0.00
Iteration 11, Warp ID: 122, Weight: 2.170139e-04, CVs: pc1=0.77, pc2=0.00
Iteration 11, Warp ID: 126, Weight: 3.560384e-05, CVs: pc1=0.78, pc2=0.00
Iteration 12, Warp ID: 128, Weight: 1.356337e-05, CVs: pc1=0.90, pc2=0.00
Iteration 12, Warp ID: 137, Weight: 8.477105e-07, CVs: pc1=0.84, pc2=0.00
Iteration 12, Warp ID: 146, Weight: 2.712674e-05, CVs: pc1=0.86, pc2=0.05
Iteration 12, Warp ID: 124, Weight: 1.356337e-05, CVs: pc1=0.81, pc2=0.04
Iteration 12, Warp ID: 125, Weight: 1.356337e-05, CVs: pc1=0.76, pc2=0.00
Iteration 12, Warp ID: 127, Weight: 5.086263e-06, CVs: pc1=0.79, pc2=0.04
Iteration 13, Warp ID: 132, Weight: 6.781684e-06, CVs: pc1=0.82, pc2=0.00
Iteration 13, Warp ID: 139, Weight: 8.477105e-07, CVs: pc1=0.86, pc2=0.01
Iteration 13, Warp ID: 145, Weight: 1.356337e-05, CVs: pc1=0.86, pc2=0.04
Iteration 13, Warp ID: 146, Weight: 4.747179e-05, CVs: pc1=0.86, pc2=0.02
Iteration 13, Warp ID: 116, Weight: 2.034505e-04, CVs: pc1=0.77, pc2=0.02
Iteration 13, Warp ID: 125, Weight: 6.329572e-05, CVs: pc1=0.74, pc2=0.12
Iteration 13, Warp ID: 127, Weight: 1.299823e-04, CVs: pc1=0.74, pc2=0.12
Iteration 14, Warp ID: 135, Weight: 4.069010e-05, CVs: pc1=0.77, pc2=0.00
Iteration 14, Warp ID: 105, Weight: 2.712674e-05, CVs: pc1=0.74, pc2=0.04
Iteration 14, Warp ID: 137, Weight: 1.808449e-05, CVs: pc1=0.86, pc2=0.02
Iteration 14, Warp ID: 144, Weight: 3.560384e-05, CVs: pc1=0.86, pc2=0.10
Iteration 14, Warp ID: 145, Weight: 1.808449e-05, CVs: pc1=0.86, pc2=0.04
Iteration 14, Warp ID: 146, Weight: 1.808449e-05, CVs: pc1=0.87, pc2=0.12
Iteration 14, Warp ID: 122, Weight: 4.521123e-06, CVs: pc1=0.77, pc2=0.07
