Iteration 17, Warp ID: 171, Weight: 9.198248e-12, CVs: pc1=0.62
Iteration 17, Warp ID: 176, Weight: 9.198248e-12, CVs: pc1=0.73
Iteration 17, Warp ID: 177, Weight: 9.198248e-12, CVs: pc1=0.67
Iteration 17, Warp ID: 178, Weight: 9.198248e-12, CVs: pc1=0.70
Iteration 17, Warp ID: 179, Weight: 9.198248e-12, CVs: pc1=0.75
Iteration 17, Warp ID: 180, Weight: 9.198248e-12, CVs: pc1=0.76
Iteration 17, Warp ID: 181, Weight: 9.198248e-12, CVs: pc1=0.67
Iteration 17, Warp ID: 182, Weight: 9.198248e-12, CVs: pc1=0.79
Iteration 17, Warp ID: 183, Weight: 9.198248e-12, CVs: pc1=0.73
Iteration 18, Warp ID: 161, Weight: 1.440446e-09, CVs: pc1=0.52
Iteration 18, Warp ID: 169, Weight: 9.198248e-12, CVs: pc1=0.70
Iteration 18, Warp ID: 171, Weight: 4.599124e-12, CVs: pc1=0.59
Iteration 18, Warp ID: 173, Weight: 9.198248e-12, CVs: pc1=0.65
Iteration 18, Warp ID: 174, Weight: 4.599124e-12, CVs: pc1=0.58
Iteration 18, Warp ID: 175, Weight: 4.599124e-12, CVs: pc1=0.61
Iteration 18, Warp ID: 176, Weight: 2.299562e-12, CVs: pc1=0.62
Iteration 18, Warp ID: 177, Weight: 2.299562e-12, CVs: pc1=0.63
Iteration 18, Warp ID: 178, Weight: 2.299562e-12, CVs: pc1=0.61
Iteration 18, Warp ID: 179, Weight: 2.299562e-12, CVs: pc1=0.68
Iteration 18, Warp ID: 181, Weight: 2.299562e-12, CVs: pc1=0.62
Iteration 19, Warp ID: 160, Weight: 5.886878e-10, CVs: pc1=0.61
Iteration 19, Warp ID: 168, Weight: 7.064254e-10, CVs: pc1=0.58
Iteration 19, Warp ID: 169, Weight: 7.064254e-10, CVs: pc1=0.58
Iteration 19, Warp ID: 185, Weight: 5.748905e-13, CVs: pc1=0.70
Iteration 19, Warp ID: 186, Weight: 5.748905e-13, CVs: pc1=0.73
Iteration 19, Warp ID: 187, Weight: 5.748905e-13, CVs: pc1=0.69
Iteration 19, Warp ID: 188, Weight: 5.748905e-13, CVs: pc1=0.74
Iteration 19, Warp ID: 189, Weight: 5.748905e-13, CVs: pc1=0.71
Iteration 20, Warp ID: 160, Weight: 7.064254e-10, CVs: pc1=0.56
Iteration 20, Warp ID: 192, Weight: 7.186131e-14, CVs: pc1=0.72
Iteration 20, Warp ID: 193, Weight: 7.186131e-14, CVs: pc1=0.76
Iteration 20, Warp ID: 196, Weight: 7.186131e-14, CVs: pc1=0.78
Iteration 20, Warp ID: 198, Weight: 7.186131e-14, CVs: pc1=0.69
Iteration 20, Warp ID: 168, Weight: 2.943439e-10, CVs: pc1=0.63
Iteration 20, Warp ID: 169, Weight: 6.475566e-10, CVs: pc1=0.64
Iteration 20, Warp ID: 170, Weight: 6.475566e-10, CVs: pc1=0.61
Iteration 20, Warp ID: 179, Weight: 8.830318e-12, CVs: pc1=0.70
Iteration 20, Warp ID: 184, Weight: 2.874452e-13, CVs: pc1=0.81
Iteration 20, Warp ID: 191, Weight: 5.748905e-13, CVs: pc1=0.69
Iteration 21, Warp ID: 192, Weight: 2.943439e-12, CVs: pc1=0.77
Iteration 21, Warp ID: 161, Weight: 1.560023e-09, CVs: pc1=0.61
Iteration 21, Warp ID: 193, Weight: 2.943439e-12, CVs: pc1=0.73
Iteration 21, Warp ID: 194, Weight: 2.943439e-12, CVs: pc1=0.82
Iteration 21, Warp ID: 198, Weight: 5.748905e-13, CVs: pc1=0.79
Iteration 21, Warp ID: 168, Weight: 1.048600e-09, CVs: pc1=0.62
Iteration 21, Warp ID: 169, Weight: 1.048600e-09, CVs: pc1=0.66
Iteration 21, Warp ID: 177, Weight: 7.665206e-13, CVs: pc1=0.65
Iteration 21, Warp ID: 184, Weight: 8.830318e-12, CVs: pc1=0.74
Iteration 22, Warp ID: 192, Weight: 2.207579e-12, CVs: pc1=0.84
Iteration 22, Warp ID: 193, Weight: 2.207579e-12, CVs: pc1=0.76
Iteration 22, Warp ID: 194, Weight: 2.207579e-12, CVs: pc1=0.78
Iteration 22, Warp ID: 195, Weight: 2.207579e-12, CVs: pc1=0.76
Iteration 22, Warp ID: 164, Weight: 2.943439e-10, CVs: pc1=0.53
Iteration 22, Warp ID: 196, Weight: 1.916302e-13, CVs: pc1=0.84
Iteration 22, Warp ID: 197, Weight: 1.916302e-13, CVs: pc1=0.80
Iteration 22, Warp ID: 198, Weight: 1.916302e-13, CVs: pc1=0.84
Iteration 22, Warp ID: 168, Weight: 7.358598e-11, CVs: pc1=0.57
Iteration 22, Warp ID: 169, Weight: 7.358598e-11, CVs: pc1=0.58
Iteration 22, Warp ID: 201, Weight: 9.581508e-14, CVs: pc1=0.95
Iteration 22, Warp ID: 171, Weight: 4.599124e-12, CVs: pc1=0.61
Iteration 22, Warp ID: 202, Weight: 9.581508e-14, CVs: pc1=0.92
Iteration 22, Warp ID: 174, Weight: 7.064254e-10, CVs: pc1=0.52
Iteration 22, Warp ID: 177, Weight: 3.532127e-10, CVs: pc1=0.68
Iteration 22, Warp ID: 178, Weight: 7.665206e-13, CVs: pc1=0.65
Iteration 22, Warp ID: 182, Weight: 7.665206e-13, CVs: pc1=0.65
Iteration 23, Warp ID: 161, Weight: 5.151019e-10, CVs: pc1=0.59
Iteration 23, Warp ID: 162, Weight: 1.685119e-09, CVs: pc1=0.57
Iteration 23, Warp ID: 168, Weight: 2.943439e-10, CVs: pc1=0.57
Iteration 23, Warp ID: 169, Weight: 2.943439e-10, CVs: pc1=0.54
Iteration 23, Warp ID: 170, Weight: 2.943439e-10, CVs: pc1=0.60
Iteration 23, Warp ID: 172, Weight: 2.759474e-11, CVs: pc1=0.59
