Iteration 22, Warp ID: 140, Weight: 9.889956e-07, CVs: pc1=0.93, pc2=0.00
Iteration 22, Warp ID: 141, Weight: 9.889956e-07, CVs: pc1=0.89, pc2=0.00
Iteration 22, Warp ID: 144, Weight: 3.373937e-04, CVs: pc1=0.90, pc2=0.01
Iteration 22, Warp ID: 145, Weight: 3.373937e-04, CVs: pc1=0.88, pc2=0.00
Iteration 22, Warp ID: 146, Weight: 1.977991e-06, CVs: pc1=0.88, pc2=0.01
Iteration 22, Warp ID: 149, Weight: 6.181222e-08, CVs: pc1=0.94, pc2=0.00
Iteration 22, Warp ID: 150, Weight: 6.181222e-08, CVs: pc1=0.91, pc2=0.03
Iteration 22, Warp ID: 151, Weight: 6.181222e-08, CVs: pc1=0.92, pc2=0.01
Iteration 23, Warp ID: 140, Weight: 6.840082e-05, CVs: pc1=0.90, pc2=0.00
Iteration 24, Warp ID: 140, Weight: 2.317958e-08, CVs: pc1=0.88, pc2=-0.00
Iteration 25, Warp ID: 155, Weight: 1.158979e-08, CVs: pc1=0.91, pc2=0.02
Iteration 26, Warp ID: 140, Weight: 2.317958e-08, CVs: pc1=0.89, pc2=0.06
Iteration 26, Warp ID: 144, Weight: 1.012923e-03, CVs: pc1=0.89, pc2=0.06
Iteration 26, Warp ID: 147, Weight: 6.181222e-08, CVs: pc1=0.88, pc2=0.02
Iteration 26, Warp ID: 149, Weight: 8.778947e-05, CVs: pc1=0.89, pc2=0.00
Iteration 26, Warp ID: 152, Weight: 2.542815e-04, CVs: pc1=0.89, pc2=0.02
Iteration 26, Warp ID: 153, Weight: 2.542815e-04, CVs: pc1=0.90, pc2=0.00
Iteration 26, Warp ID: 154, Weight: 1.158979e-08, CVs: pc1=0.87, pc2=0.01
Iteration 27, Warp ID: 145, Weight: 2.060407e-08, CVs: pc1=0.91, pc2=0.04
Iteration 27, Warp ID: 146, Weight: 2.060407e-08, CVs: pc1=0.89, pc2=0.07
Iteration 27, Warp ID: 148, Weight: 1.931632e-09, CVs: pc1=0.90, pc2=0.03
Iteration 28, Warp ID: 144, Weight: 1.124646e-04, CVs: pc1=0.88, pc2=0.01
Iteration 28, Warp ID: 145, Weight: 1.124646e-04, CVs: pc1=0.93, pc2=0.07
Iteration 28, Warp ID: 148, Weight: 2.253571e-08, CVs: pc1=0.91, pc2=0.03
Iteration 28, Warp ID: 149, Weight: 7.726528e-09, CVs: pc1=0.91, pc2=0.03
Iteration 28, Warp ID: 151, Weight: 1.931632e-09, CVs: pc1=0.91, pc2=0.10
Iteration 28, Warp ID: 154, Weight: 3.700069e-06, CVs: pc1=0.91, pc2=0.11
Iteration 28, Warp ID: 155, Weight: 3.700069e-06, CVs: pc1=0.92, pc2=0.14
Iteration 29, Warp ID: 148, Weight: 4.829080e-10, CVs: pc1=0.88, pc2=0.02
Iteration 29, Warp ID: 149, Weight: 4.829080e-10, CVs: pc1=0.89, pc2=0.01
Iteration 29, Warp ID: 150, Weight: 4.829080e-10, CVs: pc1=0.94, pc2=0.02
Iteration 29, Warp ID: 152, Weight: 9.250172e-07, CVs: pc1=0.92, pc2=0.08
Iteration 29, Warp ID: 153, Weight: 9.250172e-07, CVs: pc1=0.95, pc2=0.07
Iteration 29, Warp ID: 154, Weight: 9.250172e-07, CVs: pc1=0.95, pc2=0.11
Iteration 29, Warp ID: 155, Weight: 9.250172e-07, CVs: pc1=0.92, pc2=0.07
Iteration 31, Warp ID: 145, Weight: 2.108711e-05, CVs: pc1=0.90, pc2=0.05
Iteration 31, Warp ID: 149, Weight: 1.874410e-05, CVs: pc1=0.92, pc2=0.10
Iteration 31, Warp ID: 150, Weight: 1.874410e-05, CVs: pc1=0.92, pc2=0.10
Iteration 31, Warp ID: 151, Weight: 1.874410e-05, CVs: pc1=0.93, pc2=0.01
Iteration 32, Warp ID: 140, Weight: 7.046424e-04, CVs: pc1=0.89, pc2=0.01
Iteration 32, Warp ID: 149, Weight: 7.029036e-06, CVs: pc1=0.93, pc2=0.09
Iteration 32, Warp ID: 151, Weight: 7.029036e-06, CVs: pc1=0.93, pc2=0.07
Iteration 35, Warp ID: 156, Weight: 6.589721e-07, CVs: pc1=0.98, pc2=0.12
Iteration 35, Warp ID: 157, Weight: 6.589721e-07, CVs: pc1=0.99, pc2=0.16
Iteration 35, Warp ID: 158, Weight: 6.589721e-07, CVs: pc1=0.93, pc2=0.07
Iteration 35, Warp ID: 159, Weight: 6.589721e-07, CVs: pc1=0.90, pc2=0.09
Iteration 36, Warp ID: 138, Weight: 1.854367e-07, CVs: pc1=0.89, pc2=0.00
Iteration 36, Warp ID: 155, Weight: 3.294861e-07, CVs: pc1=0.90, pc2=0.10
Iteration 36, Warp ID: 146, Weight: 8.916881e-04, CVs: pc1=0.92, pc2=0.01
Iteration 37, Warp ID: 153, Weight: 7.625216e-05, CVs: pc1=0.90, pc2=0.04
Iteration 37, Warp ID: 148, Weight: 3.990826e-04, CVs: pc1=0.91, pc2=-0.00
Iteration 37, Warp ID: 159, Weight: 1.525043e-04, CVs: pc1=0.93, pc2=0.15
Iteration 38, Warp ID: 160, Weight: 3.812608e-05, CVs: pc1=0.94, pc2=0.12
Iteration 38, Warp ID: 161, Weight: 3.812608e-05, CVs: pc1=0.94, pc2=0.11
Iteration 38, Warp ID: 162, Weight: 3.812608e-05, CVs: pc1=0.96, pc2=0.12
Iteration 38, Warp ID: 163, Weight: 3.812608e-05, CVs: pc1=0.96, pc2=0.12
Iteration 38, Warp ID: 144, Weight: 1.221989e-03, CVs: pc1=0.91, pc2=0.00
Iteration 38, Warp ID: 148, Weight: 1.016695e-04, CVs: pc1=0.93, pc2=0.13
Iteration 38, Warp ID: 151, Weight: 1.779217e-04, CVs: pc1=0.88, pc2=0.00
Iteration 38, Warp ID: 153, Weight: 1.906304e-05, CVs: pc1=0.92, pc2=0.09
Iteration 38, Warp ID: 154, Weight: 1.906304e-05, CVs: pc1=0.92, pc2=0.08
Iteration 38, Warp ID: 155, Weight: 1.906304e-05, CVs: pc1=0.95, pc2=0.08
Iteration 39, Warp ID: 144, Weight: 4.321846e-04, CVs: pc1=0.92, pc2=0.01
Iteration 39, Warp ID: 142, Weight: 4.344840e-04, CVs: pc1=0.92, pc2=0.05
Iteration 41, Warp ID: 160, Weight: 2.382880e-06, CVs: pc1=0.91, pc2=0.07
Iteration 41, Warp ID: 152, Weight: 6.881831e-05, CVs: pc1=0.92, pc2=0.12
Iteration 41, Warp ID: 157, Weight: 3.620700e-05, CVs: pc1=0.95, pc2=0.17
Iteration 41, Warp ID: 158, Weight: 3.620700e-05, CVs: pc1=0.94, pc2=0.11
Iteration 41, Warp ID: 159, Weight: 3.620700e-05, CVs: pc1=0.95, pc2=0.10
Iteration 42, Warp ID: 144, Weight: 5.840867e-05, CVs: pc1=0.88, pc2=-0.00
Iteration 42, Warp ID: 149, Weight: 7.573894e-06, CVs: pc1=0.90, pc2=0.01
