Iteration 20, Warp ID: 163, Weight: 1.589457e-07, CVs: pc1=0.56
Iteration 20, Warp ID: 164, Weight: 1.059638e-07, CVs: pc1=0.60
Iteration 20, Warp ID: 165, Weight: 1.059638e-07, CVs: pc1=0.54
Iteration 20, Warp ID: 167, Weight: 1.589457e-07, CVs: pc1=0.59
Iteration 21, Warp ID: 168, Weight: 5.298191e-08, CVs: pc1=0.71
Iteration 21, Warp ID: 169, Weight: 5.298191e-08, CVs: pc1=0.69
Iteration 21, Warp ID: 173, Weight: 1.589457e-07, CVs: pc1=0.62
Iteration 21, Warp ID: 174, Weight: 1.589457e-07, CVs: pc1=0.62
Iteration 21, Warp ID: 184, Weight: 3.973643e-08, CVs: pc1=0.75
Iteration 21, Warp ID: 185, Weight: 3.973643e-08, CVs: pc1=0.82
Iteration 21, Warp ID: 186, Weight: 3.973643e-08, CVs: pc1=0.79
Iteration 21, Warp ID: 190, Weight: 1.986821e-08, CVs: pc1=0.82
Iteration 21, Warp ID: 191, Weight: 1.986821e-08, CVs: pc1=0.85
Iteration 22, Warp ID: 192, Weight: 3.311369e-09, CVs: pc1=0.88
Iteration 22, Warp ID: 193, Weight: 3.311369e-09, CVs: pc1=0.86
Iteration 22, Warp ID: 194, Weight: 3.311369e-09, CVs: pc1=0.81
Iteration 22, Warp ID: 195, Weight: 3.311369e-09, CVs: pc1=0.80
Iteration 22, Warp ID: 196, Weight: 3.311369e-09, CVs: pc1=0.77
Iteration 22, Warp ID: 197, Weight: 3.311369e-09, CVs: pc1=0.86
Iteration 22, Warp ID: 166, Weight: 3.973643e-08, CVs: pc1=0.60
Iteration 22, Warp ID: 198, Weight: 3.311369e-09, CVs: pc1=0.79
Iteration 22, Warp ID: 199, Weight: 3.311369e-09, CVs: pc1=0.74
Iteration 22, Warp ID: 172, Weight: 7.947286e-08, CVs: pc1=0.61
Iteration 22, Warp ID: 173, Weight: 1.112620e-06, CVs: pc1=0.58
Iteration 22, Warp ID: 178, Weight: 3.973643e-08, CVs: pc1=0.71
Iteration 22, Warp ID: 179, Weight: 3.973643e-08, CVs: pc1=0.70
Iteration 22, Warp ID: 182, Weight: 6.622738e-09, CVs: pc1=0.61
Iteration 23, Warp ID: 160, Weight: 2.712674e-06, CVs: pc1=0.51
Iteration 23, Warp ID: 185, Weight: 1.059638e-07, CVs: pc1=0.76
Iteration 23, Warp ID: 166, Weight: 2.384186e-07, CVs: pc1=0.61
Iteration 23, Warp ID: 175, Weight: 6.622738e-09, CVs: pc1=0.62
Iteration 24, Warp ID: 168, Weight: 3.814697e-07, CVs: pc1=0.59
Iteration 24, Warp ID: 200, Weight: 6.208817e-10, CVs: pc1=0.88
Iteration 24, Warp ID: 201, Weight: 6.208817e-10, CVs: pc1=0.85
Iteration 24, Warp ID: 202, Weight: 6.208817e-10, CVs: pc1=0.86
Iteration 24, Warp ID: 203, Weight: 6.208817e-10, CVs: pc1=0.94
Iteration 24, Warp ID: 173, Weight: 6.622738e-09, CVs: pc1=0.60
Iteration 24, Warp ID: 204, Weight: 6.208817e-10, CVs: pc1=0.85
Iteration 24, Warp ID: 205, Weight: 6.208817e-10, CVs: pc1=0.92
Iteration 24, Warp ID: 206, Weight: 6.208817e-10, CVs: pc1=0.89
Iteration 24, Warp ID: 207, Weight: 6.208817e-10, CVs: pc1=0.93
Iteration 24, Warp ID: 179, Weight: 1.059638e-07, CVs: pc1=0.68
Iteration 24, Warp ID: 186, Weight: 1.059638e-07, CVs: pc1=0.71
Iteration 25, Warp ID: 196, Weight: 4.015035e-08, CVs: pc1=0.83
Iteration 25, Warp ID: 204, Weight: 6.622738e-09, CVs: pc1=0.86
Iteration 25, Warp ID: 174, Weight: 1.059638e-07, CVs: pc1=0.63
Iteration 25, Warp ID: 176, Weight: 1.271566e-06, CVs: pc1=0.63
Iteration 25, Warp ID: 177, Weight: 1.271566e-06, CVs: pc1=0.68
Iteration 25, Warp ID: 153, Weight: 5.086263e-07, CVs: pc1=0.51
Iteration 25, Warp ID: 186, Weight: 9.578135e-08, CVs: pc1=0.81
Iteration 26, Warp ID: 192, Weight: 1.192093e-08, CVs: pc1=0.78
Iteration 26, Warp ID: 193, Weight: 1.192093e-08, CVs: pc1=0.76
Iteration 26, Warp ID: 194, Weight: 1.192093e-08, CVs: pc1=0.78
Iteration 26, Warp ID: 195, Weight: 1.192093e-08, CVs: pc1=0.80
Iteration 26, Warp ID: 201, Weight: 2.384186e-07, CVs: pc1=0.84
Iteration 26, Warp ID: 202, Weight: 2.384186e-07, CVs: pc1=0.86
Iteration 26, Warp ID: 203, Weight: 2.384186e-07, CVs: pc1=0.79
Iteration 26, Warp ID: 173, Weight: 5.086263e-07, CVs: pc1=0.63
Iteration 26, Warp ID: 174, Weight: 5.086263e-07, CVs: pc1=0.60
Iteration 26, Warp ID: 208, Weight: 8.278423e-10, CVs: pc1=0.97
Iteration 26, Warp ID: 211, Weight: 8.278423e-10, CVs: pc1=0.98
Iteration 26, Warp ID: 213, Weight: 8.278423e-10, CVs: pc1=0.99
Iteration 26, Warp ID: 182, Weight: 6.622738e-09, CVs: pc1=0.59
Iteration 26, Warp ID: 184, Weight: 5.612771e-07, CVs: pc1=0.79
