Iteration 7, Warp ID: 64, Weight: 6.000384e-05, CVs: pc1=0.98, pc2=0.04
Iteration 7, Warp ID: 66, Weight: 6.000384e-05, CVs: pc1=0.98, pc2=0.00
Iteration 8, Warp ID: 63, Weight: 7.500480e-06, CVs: pc1=1.00, pc2=0.02
Iteration 9, Warp ID: 65, Weight: 9.375600e-07, CVs: pc1=1.00, pc2=0.02
Iteration 9, Warp ID: 68, Weight: 9.375600e-07, CVs: pc1=1.00, pc2=0.02
Iteration 10, Warp ID: 49, Weight: 1.171950e-07, CVs: pc1=0.99, pc2=0.00
Iteration 10, Warp ID: 51, Weight: 1.171950e-07, CVs: pc1=1.00, pc2=0.01
Iteration 10, Warp ID: 52, Weight: 1.171950e-07, CVs: pc1=0.97, pc2=0.01
Iteration 10, Warp ID: 53, Weight: 1.171950e-07, CVs: pc1=1.00, pc2=0.02
Iteration 10, Warp ID: 56, Weight: 1.171950e-07, CVs: pc1=1.00, pc2=0.01
Iteration 10, Warp ID: 59, Weight: 1.171950e-07, CVs: pc1=1.00, pc2=0.00
Iteration 10, Warp ID: 60, Weight: 1.171950e-07, CVs: pc1=1.00, pc2=0.00
Iteration 10, Warp ID: 67, Weight: 1.171950e-07, CVs: pc1=1.00, pc2=0.00
Iteration 10, Warp ID: 71, Weight: 1.171950e-07, CVs: pc1=1.00, pc2=0.00
Iteration 11, Warp ID: 68, Weight: 1.464938e-08, CVs: pc1=0.98, pc2=0.03
Iteration 11, Warp ID: 69, Weight: 1.464938e-08, CVs: pc1=0.99, pc2=0.03
Iteration 11, Warp ID: 58, Weight: 1.464938e-08, CVs: pc1=1.00, pc2=0.01
Iteration 12, Warp ID: 92, Weight: 1.831172e-09, CVs: pc1=0.99, pc2=0.01
Iteration 12, Warp ID: 93, Weight: 1.831172e-09, CVs: pc1=0.96, pc2=-0.00
Iteration 12, Warp ID: 99, Weight: 2.441563e-09, CVs: pc1=1.00, pc2=0.02
Iteration 12, Warp ID: 102, Weight: 7.324688e-09, CVs: pc1=0.96, pc2=0.01
Iteration 12, Warp ID: 109, Weight: 1.831172e-09, CVs: pc1=0.99, pc2=0.04
Iteration 12, Warp ID: 110, Weight: 1.831172e-09, CVs: pc1=0.98, pc2=0.00
Iteration 13, Warp ID: 75, Weight: 2.421670e-05, CVs: pc1=1.00, pc2=0.01
Iteration 13, Warp ID: 76, Weight: 2.421670e-05, CVs: pc1=0.96, pc2=0.01
Iteration 13, Warp ID: 88, Weight: 6.103906e-10, CVs: pc1=0.96, pc2=0.00
Iteration 13, Warp ID: 93, Weight: 3.662344e-10, CVs: pc1=0.96, pc2=0.00
Iteration 13, Warp ID: 94, Weight: 3.662344e-10, CVs: pc1=1.00, pc2=0.01
Iteration 13, Warp ID: 99, Weight: 3.662344e-10, CVs: pc1=0.99, pc2=0.00
Iteration 13, Warp ID: 102, Weight: 6.103906e-10, CVs: pc1=0.98, pc2=0.02
Iteration 13, Warp ID: 108, Weight: 2.288965e-10, CVs: pc1=0.98, pc2=0.00
Iteration 13, Warp ID: 110, Weight: 2.288965e-10, CVs: pc1=1.00, pc2=0.04
Iteration 13, Warp ID: 117, Weight: 3.051953e-10, CVs: pc1=0.96, pc2=0.03
Iteration 14, Warp ID: 128, Weight: 2.861206e-11, CVs: pc1=0.97, pc2=0.03
Iteration 14, Warp ID: 131, Weight: 2.861206e-11, CVs: pc1=0.98, pc2=0.00
Iteration 14, Warp ID: 139, Weight: 4.577930e-11, CVs: pc1=0.99, pc2=0.00
Iteration 14, Warp ID: 142, Weight: 4.577930e-11, CVs: pc1=0.99, pc2=0.00
Iteration 14, Warp ID: 88, Weight: 3.051953e-10, CVs: pc1=1.00, pc2=0.04
Iteration 14, Warp ID: 91, Weight: 3.051953e-10, CVs: pc1=1.00, pc2=0.03
Iteration 14, Warp ID: 92, Weight: 3.051953e-10, CVs: pc1=1.00, pc2=0.01
Iteration 14, Warp ID: 95, Weight: 1.525977e-10, CVs: pc1=1.00, pc2=0.01
Iteration 14, Warp ID: 96, Weight: 2.861206e-11, CVs: pc1=1.00, pc2=0.04
Iteration 14, Warp ID: 101, Weight: 2.861206e-11, CVs: pc1=1.00, pc2=0.03
Iteration 14, Warp ID: 103, Weight: 2.861206e-11, CVs: pc1=0.96, pc2=0.00
Iteration 14, Warp ID: 106, Weight: 9.155859e-11, CVs: pc1=0.97, pc2=0.01
Iteration 14, Warp ID: 109, Weight: 7.629883e-11, CVs: pc1=1.00, pc2=0.01
Iteration 14, Warp ID: 121, Weight: 1.144482e-10, CVs: pc1=0.99, pc2=0.00
Iteration 14, Warp ID: 123, Weight: 3.814941e-11, CVs: pc1=1.00, pc2=0.01
Iteration 15, Warp ID: 129, Weight: 3.576508e-12, CVs: pc1=1.00, pc2=0.03
Iteration 15, Warp ID: 130, Weight: 3.576508e-12, CVs: pc1=1.00, pc2=0.00
Iteration 15, Warp ID: 132, Weight: 3.576508e-12, CVs: pc1=1.00, pc2=0.01
Iteration 15, Warp ID: 137, Weight: 9.537354e-12, CVs: pc1=1.00, pc2=0.02
Iteration 15, Warp ID: 138, Weight: 9.537354e-12, CVs: pc1=1.00, pc2=0.01
Iteration 15, Warp ID: 140, Weight: 5.722412e-12, CVs: pc1=0.98, pc2=0.00
Iteration 15, Warp ID: 141, Weight: 5.722412e-12, CVs: pc1=0.98, pc2=0.00
Iteration 15, Warp ID: 143, Weight: 5.722412e-12, CVs: pc1=0.97, pc2=0.03
Iteration 15, Warp ID: 96, Weight: 3.783859e-07, CVs: pc1=0.97, pc2=0.00
Iteration 15, Warp ID: 102, Weight: 3.783859e-07, CVs: pc1=1.00, pc2=0.02
Iteration 15, Warp ID: 106, Weight: 9.537354e-12, CVs: pc1=0.98, pc2=0.00
Iteration 15, Warp ID: 108, Weight: 9.537354e-12, CVs: pc1=0.96, pc2=0.00
Iteration 15, Warp ID: 118, Weight: 1.430603e-11, CVs: pc1=1.00, pc2=0.02
Iteration 15, Warp ID: 120, Weight: 1.144482e-11, CVs: pc1=1.00, pc2=0.01
Iteration 15, Warp ID: 123, Weight: 1.144482e-11, CVs: pc1=1.00, pc2=0.03
Iteration 15, Warp ID: 124, Weight: 1.144482e-11, CVs: pc1=1.00, pc2=0.02
Iteration 16, Warp ID: 140, Weight: 3.814941e-12, CVs: pc1=0.97, pc2=0.01
Iteration 16, Warp ID: 142, Weight: 5.722412e-12, CVs: pc1=1.00, pc2=0.02
