Iteration 0, Warp ID: 131, Weight: 7.57575799999929151e-03, CVs: pc1=0.96, pc2=5.87
Iteration 0, Warp ID: 127, Weight: 7.57575799999929151e-03, CVs: pc1=0.96, pc2=11.06
Iteration 1, Warp ID: 98, Weight: 1.51515199999984317e-02, CVs: pc1=0.95, pc2=10.19
Iteration 2, Warp ID: 102, Weight: 7.57575799999913452e-03, CVs: pc1=0.94, pc2=15.20
Iteration 4, Warp ID: 112, Weight: 1.89393899999973575e-03, CVs: pc1=0.95, pc2=18.95
Iteration 4, Warp ID: 111, Weight: 1.89393899999973575e-03, CVs: pc1=0.94, pc2=30.96
Iteration 5, Warp ID: 113, Weight: 1.89393899999970778e-03, CVs: pc1=0.98, pc2=14.97
Iteration 5, Warp ID: 101, Weight: 9.46969699999853851e-03, CVs: pc1=0.86, pc2=13.72
Iteration 6, Warp ID: 108, Weight: 9.46969699999838412e-03, CVs: pc1=0.88, pc2=22.70
Iteration 7, Warp ID: 114, Weight: 4.73484799999910819e-03, CVs: pc1=0.98, pc2=40.00
Iteration 7, Warp ID: 111, Weight: 4.73484799999910819e-03, CVs: pc1=0.95, pc2=47.83
Iteration 9, Warp ID: 113, Weight: 4.73484799999891043e-03, CVs: pc1=0.97, pc2=54.60
Iteration 9, Warp ID: 114, Weight: 4.20875399999903125e-04, CVs: pc1=0.95, pc2=24.83
Iteration 9, Warp ID: 118, Weight: 1.26262599999970942e-03, CVs: pc1=0.99, pc2=22.53
Iteration 9, Warp ID: 119, Weight: 6.31313099999854742e-04, CVs: pc1=0.98, pc2=55.38
Iteration 10, Warp ID: 115, Weight: 2.84090899999927746e-03, CVs: pc1=0.96, pc2=11.27
Iteration 11, Warp ID: 119, Weight: 2.84090899999920156e-03, CVs: pc1=0.92, pc2=14.51
Iteration 12, Warp ID: 124, Weight: 1.05218899999967315e-04, CVs: pc1=1.00, pc2=36.73
Iteration 12, Warp ID: 125, Weight: 8.41750799999738488e-04, CVs: pc1=1.00, pc2=24.01
Iteration 13, Warp ID: 127, Weight: 3.50729499999879562e-05, CVs: pc1=0.99, pc2=40.24
Iteration 14, Warp ID: 124, Weight: 1.75364799999933449e-05, CVs: pc1=1.00, pc2=17.83
Iteration 16, Warp ID: 121, Weight: 2.63047099999878059e-05, CVs: pc1=1.00, pc2=36.76
Iteration 16, Warp ID: 123, Weight: 2.33819699999891600e-05, CVs: pc1=1.00, pc2=14.41
Iteration 18, Warp ID: 125, Weight: 4.38411899999751859e-06, CVs: pc1=1.00, pc2=45.03
Iteration 18, Warp ID: 123, Weight: 8.76823799999503719e-06, CVs: pc1=1.00, pc2=52.50
Iteration 18, Warp ID: 117, Weight: 9.70351699999450596e-04, CVs: pc1=0.97, pc2=21.06
Iteration 19, Warp ID: 122, Weight: 4.38411899999725771e-06, CVs: pc1=1.00, pc2=51.41
Iteration 20, Warp ID: 111, Weight: 1.40291799999902982e-04, CVs: pc1=0.88, pc2=46.49
Iteration 20, Warp ID: 119, Weight: 4.88098599999662491e-04, CVs: pc1=0.93, pc2=46.78
Iteration 21, Warp ID: 112, Weight: 2.42587899999814637e-04, CVs: pc1=0.89, pc2=57.07
Iteration 21, Warp ID: 119, Weight: 1.75364799999865991e-05, CVs: pc1=0.97, pc2=43.32
Iteration 21, Warp ID: 123, Weight: 1.46137299999888318e-06, CVs: pc1=1.00, pc2=27.76
Iteration 21, Warp ID: 124, Weight: 1.46137299999888318e-06, CVs: pc1=1.00, pc2=47.64
Iteration 21, Warp ID: 125, Weight: 1.46137299999888318e-06, CVs: pc1=1.00, pc2=36.33
Iteration 22, Warp ID: 123, Weight: 2.92274599999753173e-06, CVs: pc1=0.95, pc2=23.59
Iteration 23, Warp ID: 120, Weight: 2.42587899999773573e-04, CVs: pc1=0.99, pc2=27.38
Iteration 23, Warp ID: 121, Weight: 2.42587899999773573e-04, CVs: pc1=0.97, pc2=27.63
Iteration 23, Warp ID: 117, Weight: 9.99579099999066975e-04, CVs: pc1=0.93, pc2=31.22
Iteration 24, Warp ID: 120, Weight: 9.74248699998994970e-07, CVs: pc1=0.97, pc2=48.90
Iteration 24, Warp ID: 122, Weight: 9.74248699998994970e-07, CVs: pc1=1.00, pc2=38.68
Iteration 24, Warp ID: 118, Weight: 3.25399099999664344e-04, CVs: pc1=0.98, pc2=16.71
Iteration 24, Warp ID: 111, Weight: 2.23590099999769362e-04, CVs: pc1=0.93, pc2=59.15
Iteration 26, Warp ID: 130, Weight: 4.87124299999386342e-07, CVs: pc1=1.00, pc2=60.75
Iteration 26, Warp ID: 124, Weight: 3.24749599999590854e-07, CVs: pc1=0.98, pc2=67.65
Iteration 27, Warp ID: 113, Weight: 7.21106399998995952e-04, CVs: pc1=0.87, pc2=77.56
Iteration 28, Warp ID: 112, Weight: 5.39896099999169192e-05, CVs: pc1=0.87, pc2=37.36
Iteration 28, Warp ID: 115, Weight: 8.09844199998753690e-05, CVs: pc1=0.93, pc2=25.20
Iteration 28, Warp ID: 117, Weight: 3.79632199999415765e-04, CVs: pc1=0.95, pc2=47.76
Iteration 28, Warp ID: 111, Weight: 5.39896099999169192e-05, CVs: pc1=0.92, pc2=24.20
Iteration 29, Warp ID: 121, Weight: 1.80777299999692562e-05, CVs: pc1=0.98, pc2=20.28
Iteration 30, Warp ID: 121, Weight: 8.99826899998308823e-06, CVs: pc1=0.98, pc2=23.65
Iteration 30, Warp ID: 117, Weight: 5.71559199998925767e-05, CVs: pc1=0.94, pc2=31.75
Iteration 31, Warp ID: 118, Weight: 8.99826899998130946e-06, CVs: pc1=0.98, pc2=54.76
Iteration 31, Warp ID: 119, Weight: 8.99826899998130946e-06, CVs: pc1=0.96, pc2=57.06
Iteration 32, Warp ID: 126, Weight: 1.49971099999655713e-06, CVs: pc1=0.98, pc2=35.10
Iteration 32, Warp ID: 116, Weight: 3.39650099999220297e-03, CVs: pc1=0.89, pc2=62.58
Iteration 32, Warp ID: 125, Weight: 8.99826899997934435e-06, CVs: pc1=0.95, pc2=60.21
Iteration 32, Warp ID: 118, Weight: 2.44414599999438948e-04, CVs: pc1=0.90, pc2=27.99
Iteration 33, Warp ID: 112, Weight: 1.69825099999569139e-03, CVs: pc1=0.90, pc2=64.07
Iteration 33, Warp ID: 121, Weight: 7.49855699998097602e-07, CVs: pc1=0.97, pc2=53.18
Iteration 33, Warp ID: 122, Weight: 1.49971099999619502e-06, CVs: pc1=0.99, pc2=41.48
Iteration 33, Warp ID: 120, Weight: 7.49855699998097602e-07, CVs: pc1=0.99, pc2=36.87
Iteration 34, Warp ID: 109, Weight: 1.59313999999553292e-03, CVs: pc1=0.87, pc2=44.48
Iteration 35, Warp ID: 115, Weight: 4.49913399998605819e-06, CVs: pc1=0.94, pc2=46.27
Iteration 35, Warp ID: 108, Weight: 8.62622799997326910e-04, CVs: pc1=0.93, pc2=41.16
