Iteration 0, Warp ID: 128, Weight: 7.57575799999999494e-03, CVs: pc1=0.97, pc2=8.79
Iteration 0, Warp ID: 130, Weight: 7.57575799999999494e-03, CVs: pc1=1.00, pc2=10.07
Iteration 0, Warp ID: 127, Weight: 7.57575799999999494e-03, CVs: pc1=0.94, pc2=15.68
Iteration 2, Warp ID: 112, Weight: 2.52525299999999770e-03, CVs: pc1=0.95, pc2=14.98
Iteration 2, Warp ID: 116, Weight: 2.52525299999999770e-03, CVs: pc1=0.95, pc2=10.22
Iteration 2, Warp ID: 117, Weight: 2.52525299999999770e-03, CVs: pc1=0.96, pc2=48.89
Iteration 4, Warp ID: 111, Weight: 7.57575799999999321e-03, CVs: pc1=0.98, pc2=18.91
Iteration 6, Warp ID: 108, Weight: 7.57575799999999147e-03, CVs: pc1=0.90, pc2=32.08
Iteration 7, Warp ID: 114, Weight: 8.41750799999999022e-04, CVs: pc1=1.00, pc2=14.01
Iteration 8, Warp ID: 120, Weight: 3.78787899999999443e-03, CVs: pc1=0.99, pc2=27.06
Iteration 9, Warp ID: 111, Weight: 1.12233399999999827e-03, CVs: pc1=0.91, pc2=31.75
Iteration 9, Warp ID: 112, Weight: 1.12233399999999827e-03, CVs: pc1=0.90, pc2=32.96
Iteration 9, Warp ID: 117, Weight: 7.78619499999998795e-03, CVs: pc1=0.95, pc2=37.87
Iteration 9, Warp ID: 123, Weight: 1.05218899999999841e-04, CVs: pc1=1.00, pc2=55.88
Iteration 10, Warp ID: 108, Weight: 3.15656599999999433e-04, CVs: pc1=0.92, pc2=49.50
Iteration 11, Warp ID: 112, Weight: 1.36784499999999731e-03, CVs: pc1=0.95, pc2=26.20
Iteration 11, Warp ID: 110, Weight: 3.15656599999999379e-04, CVs: pc1=0.90, pc2=60.24
Iteration 12, Warp ID: 112, Weight: 3.15656599999999325e-04, CVs: pc1=0.94, pc2=65.71
Iteration 12, Warp ID: 121, Weight: 1.16909799999999753e-05, CVs: pc1=0.92, pc2=45.67
Iteration 12, Warp ID: 123, Weight: 4.67639399999998957e-05, CVs: pc1=0.97, pc2=57.99
Iteration 12, Warp ID: 117, Weight: 1.28600799999999739e-04, CVs: pc1=0.99, pc2=51.98
Iteration 13, Warp ID: 115, Weight: 3.89699499999999046e-06, CVs: pc1=0.96, pc2=71.12
Iteration 13, Warp ID: 116, Weight: 3.89699499999999046e-06, CVs: pc1=1.00, pc2=50.61
Iteration 13, Warp ID: 117, Weight: 7.13149999999998334e-04, CVs: pc1=1.00, pc2=88.93
Iteration 13, Warp ID: 119, Weight: 9.82042599999997630e-04, CVs: pc1=1.00, pc2=72.56
Iteration 14, Warp ID: 112, Weight: 1.60166499999999583e-03, CVs: pc1=0.94, pc2=39.03
Iteration 14, Warp ID: 117, Weight: 5.84549199999998472e-06, CVs: pc1=0.97, pc2=40.70
Iteration 15, Warp ID: 120, Weight: 6.49499099999998204e-07, CVs: pc1=0.90, pc2=55.12
Iteration 15, Warp ID: 122, Weight: 6.49499099999998204e-07, CVs: pc1=0.94, pc2=50.88
Iteration 16, Warp ID: 115, Weight: 2.16499699999999348e-07, CVs: pc1=0.94, pc2=17.28
Iteration 17, Warp ID: 122, Weight: 2.37716699999999194e-04, CVs: pc1=1.00, pc2=71.85
Iteration 17, Warp ID: 115, Weight: 2.16499699999999269e-07, CVs: pc1=0.94, pc2=23.12
Iteration 18, Warp ID: 107, Weight: 4.90436799999998188e-03, CVs: pc1=0.89, pc2=44.12
Iteration 19, Warp ID: 114, Weight: 2.92274599999998770e-06, CVs: pc1=0.98, pc2=52.25
Iteration 19, Warp ID: 115, Weight: 2.92274599999998770e-06, CVs: pc1=0.97, pc2=42.66
Iteration 19, Warp ID: 119, Weight: 1.46137299999999385e-06, CVs: pc1=1.00, pc2=70.37
Iteration 20, Warp ID: 107, Weight: 1.60166499999999257e-03, CVs: pc1=0.89, pc2=56.22
Iteration 22, Warp ID: 116, Weight: 2.12240099999998775e-03, CVs: pc1=0.90, pc2=58.69
Iteration 23, Warp ID: 112, Weight: 5.33888299999996682e-04, CVs: pc1=0.89, pc2=86.40
Iteration 24, Warp ID: 129, Weight: 1.00266399999999298e-05, CVs: pc1=1.00, pc2=37.78
Iteration 24, Warp ID: 131, Weight: 5.01332099999996514e-06, CVs: pc1=1.00, pc2=69.11
Iteration 24, Warp ID: 118, Weight: 1.33472099999999071e-04, CVs: pc1=0.90, pc2=50.79
Iteration 24, Warp ID: 123, Weight: 5.43987099999996247e-04, CVs: pc1=0.93, pc2=62.27
Iteration 24, Warp ID: 125, Weight: 3.00799299999997884e-05, CVs: pc1=0.96, pc2=33.35
Iteration 26, Warp ID: 121, Weight: 6.68442799999994308e-06, CVs: pc1=0.93, pc2=51.70
Iteration 27, Warp ID: 111, Weight: 7.96358099999992493e-05, CVs: pc1=0.93, pc2=16.09
Iteration 27, Warp ID: 112, Weight: 7.96358099999992493e-05, CVs: pc1=0.89, pc2=20.88
Iteration 27, Warp ID: 114, Weight: 3.33680199999996860e-04, CVs: pc1=0.92, pc2=37.54
Iteration 27, Warp ID: 117, Weight: 2.22814299999997885e-06, CVs: pc1=0.96, pc2=55.12
Iteration 27, Warp ID: 118, Weight: 2.22814299999997885e-06, CVs: pc1=0.92, pc2=54.33
Iteration 27, Warp ID: 119, Weight: 2.22814299999997885e-06, CVs: pc1=0.91, pc2=38.93
Iteration 27, Warp ID: 121, Weight: 2.50666099999997634e-06, CVs: pc1=0.98, pc2=60.50
Iteration 27, Warp ID: 123, Weight: 5.57035699999994742e-07, CVs: pc1=1.00, pc2=83.34
Iteration 27, Warp ID: 124, Weight: 5.57035699999994742e-07, CVs: pc1=1.00, pc2=60.63
Iteration 28, Warp ID: 113, Weight: 7.96358099999991680e-05, CVs: pc1=0.88, pc2=28.65
Iteration 28, Warp ID: 114, Weight: 5.33888299999994514e-04, CVs: pc1=0.92, pc2=78.98
Iteration 29, Warp ID: 116, Weight: 1.50201199999998287e-04, CVs: pc1=0.92, pc2=38.89
Iteration 30, Warp ID: 123, Weight: 6.18928499999992147e-08, CVs: pc1=1.00, pc2=39.37
Iteration 30, Warp ID: 116, Weight: 7.96358099999989918e-05, CVs: pc1=0.91, pc2=46.00
Iteration 30, Warp ID: 118, Weight: 3.34221399999995756e-06, CVs: pc1=0.91, pc2=22.20
Iteration 30, Warp ID: 119, Weight: 1.50201199999998097e-04, CVs: pc1=0.90, pc2=65.21
Iteration 32, Warp ID: 123, Weight: 3.09464299999995262e-08, CVs: pc1=0.99, pc2=92.35
Iteration 32, Warp ID: 127, Weight: 2.32098199999996422e-08, CVs: pc1=0.97, pc2=70.03
Iteration 33, Warp ID: 118, Weight: 2.32098199999996025e-08, CVs: pc1=1.00, pc2=74.80
Iteration 33, Warp ID: 110, Weight: 9.26889299999984024e-06, CVs: pc1=0.91, pc2=61.73
Iteration 33, Warp ID: 111, Weight: 1.85377899999996814e-05, CVs: pc1=0.94, pc2=38.90
Iteration 34, Warp ID: 117, Weight: 6.87698399999987013e-09, CVs: pc1=0.98, pc2=62.71
Iteration 34, Warp ID: 119, Weight: 6.87698399999987013e-09, CVs: pc1=1.00, pc2=79.42
Iteration 35, Warp ID: 122, Weight: 2.29232799999995189e-09, CVs: pc1=1.00, pc2=43.57
Iteration 35, Warp ID: 124, Weight: 1.16049099999997583e-08, CVs: pc1=1.00, pc2=39.40
Iteration 36, Warp ID: 123, Weight: 2.29232799999994692e-09, CVs: pc1=1.00, pc2=44.26
Iteration 36, Warp ID: 125, Weight: 2.32098199999994636e-08, CVs: pc1=1.00, pc2=34.24
Iteration 37, Warp ID: 112, Weight: 4.63444699999988170e-06, CVs: pc1=0.90, pc2=54.06
Iteration 37, Warp ID: 125, Weight: 2.29232799999994113e-09, CVs: pc1=1.00, pc2=82.88
Iteration 37, Warp ID: 123, Weight: 1.93415199999995058e-09, CVs: pc1=1.00, pc2=37.08
Iteration 37, Warp ID: 117, Weight: 6.17926199999984211e-06, CVs: pc1=0.97, pc2=28.49
Iteration 39, Warp ID: 103, Weight: 4.12337699999987102e-06, CVs: pc1=0.97, pc2=39.80
Iteration 40, Warp ID: 121, Weight: 6.44717199999977728e-10, CVs: pc1=1.00, pc2=46.58
Iteration 40, Warp ID: 122, Weight: 6.44717199999977728e-10, CVs: pc1=1.00, pc2=28.49
Iteration 41, Warp ID: 120, Weight: 1.93101899999992653e-07, CVs: pc1=0.97, pc2=40.92
