Iteration 0, Warp ID: 128, Weight: 7.57575799999999494e-03, CVs: pc1=0.92, pc2=7.44
Iteration 1, Warp ID: 102, Weight: 2.52525299999999814e-03, CVs: pc1=0.97, pc2=7.45
Iteration 2, Warp ID: 105, Weight: 8.41750799999999347e-04, CVs: pc1=1.00, pc2=5.54
Iteration 2, Warp ID: 99, Weight: 1.26262599999999890e-03, CVs: pc1=1.00, pc2=6.32
Iteration 3, Warp ID: 102, Weight: 8.41750799999999239e-04, CVs: pc1=0.99, pc2=20.56
Iteration 3, Warp ID: 103, Weight: 4.20875399999999619e-04, CVs: pc1=1.00, pc2=12.70
Iteration 4, Warp ID: 91, Weight: 1.26262599999999890e-03, CVs: pc1=0.95, pc2=23.98
Iteration 4, Warp ID: 94, Weight: 4.62962999999999569e-03, CVs: pc1=0.94, pc2=13.40
Iteration 6, Warp ID: 90, Weight: 9.46969699999998917e-04, CVs: pc1=0.88, pc2=14.54
Iteration 6, Warp ID: 99, Weight: 1.68350199999999796e-03, CVs: pc1=1.00, pc2=46.67
Iteration 7, Warp ID: 100, Weight: 1.05218899999999873e-03, CVs: pc1=0.94, pc2=24.00
Iteration 7, Warp ID: 103, Weight: 4.20875399999999511e-04, CVs: pc1=0.97, pc2=13.57
Iteration 8, Warp ID: 95, Weight: 1.40291799999999801e-04, CVs: pc1=0.93, pc2=20.37
Iteration 9, Warp ID: 98, Weight: 1.40291799999999774e-04, CVs: pc1=0.91, pc2=33.02
Iteration 10, Warp ID: 106, Weight: 2.45510699999999587e-04, CVs: pc1=0.95, pc2=42.17
Iteration 11, Warp ID: 103, Weight: 2.10437699999999625e-03, CVs: pc1=0.97, pc2=37.57
Iteration 12, Warp ID: 107, Weight: 2.10437699999999566e-04, CVs: pc1=0.89, pc2=33.97
Iteration 13, Warp ID: 108, Weight: 1.53005799999999647e-03, CVs: pc1=0.96, pc2=18.18
Iteration 14, Warp ID: 106, Weight: 6.48849599999998423e-04, CVs: pc1=0.89, pc2=43.29
Iteration 14, Warp ID: 115, Weight: 8.18368899999997985e-05, CVs: pc1=1.00, pc2=78.13
Iteration 14, Warp ID: 116, Weight: 7.01458999999998191e-05, CVs: pc1=0.99, pc2=55.04
Iteration 14, Warp ID: 111, Weight: 3.40645999999999137e-03, CVs: pc1=1.00, pc2=30.27
Iteration 15, Warp ID: 116, Weight: 8.18368899999997714e-05, CVs: pc1=0.98, pc2=56.95
Iteration 16, Warp ID: 97, Weight: 2.98120099999999084e-04, CVs: pc1=0.95, pc2=84.96
Iteration 16, Warp ID: 99, Weight: 4.86637199999998492e-04, CVs: pc1=0.93, pc2=62.52
Iteration 16, Warp ID: 101, Weight: 2.43318599999999246e-04, CVs: pc1=0.93, pc2=57.95
