Iteration 1, Warp ID: 97, Weight: 4.62962999992894229e-03, CVs: pc1=0.94, pc2=18.42
Iteration 2, Warp ID: 80, Weight: 1.85185199996858764e-02, CVs: pc1=0.93, pc2=25.41
Iteration 2, Warp ID: 81, Weight: 9.25925899984293872e-03, CVs: pc1=0.91, pc2=22.25
Iteration 2, Warp ID: 85, Weight: 2.31481499996073455e-03, CVs: pc1=0.97, pc2=25.87
Iteration 2, Warp ID: 86, Weight: 2.31481499996073455e-03, CVs: pc1=0.97, pc2=27.18
Iteration 2, Warp ID: 89, Weight: 2.31481499996073455e-03, CVs: pc1=0.96, pc2=21.87
Iteration 3, Warp ID: 87, Weight: 2.31481499995660461e-03, CVs: pc1=0.91, pc2=15.31
Iteration 4, Warp ID: 83, Weight: 7.71604899984013591e-04, CVs: pc1=0.95, pc2=35.83
Iteration 4, Warp ID: 77, Weight: 3.85802499992006758e-04, CVs: pc1=0.92, pc2=17.45
Iteration 4, Warp ID: 87, Weight: 2.31481499995204055e-03, CVs: pc1=1.00, pc2=33.24
Iteration 5, Warp ID: 92, Weight: 3.85802499991166122e-04, CVs: pc1=0.95, pc2=25.40
Iteration 7, Warp ID: 106, Weight: 5.78703699983815450e-04, CVs: pc1=1.00, pc2=46.53
Iteration 9, Warp ID: 112, Weight: 5.78703699980232162e-04, CVs: pc1=1.00, pc2=69.62
Iteration 11, Warp ID: 109, Weight: 2.63631699989000812e-03, CVs: pc1=0.97, pc2=45.44
Iteration 13, Warp ID: 111, Weight: 4.34027799977882410e-04, CVs: pc1=1.00, pc2=89.43
Iteration 14, Warp ID: 96, Weight: 1.22492299993101437e-02, CVs: pc1=0.88, pc2=80.49
Iteration 18, Warp ID: 106, Weight: 1.76290299985188597e-03, CVs: pc1=1.00, pc2=42.80
Iteration 19, Warp ID: 114, Weight: 1.76290299983630858e-03, CVs: pc1=1.00, pc2=57.64
Iteration 21, Warp ID: 104, Weight: 3.54355499959812083e-03, CVs: pc1=0.90, pc2=29.23
Iteration 21, Warp ID: 113, Weight: 6.34966599927987651e-04, CVs: pc1=0.98, pc2=89.01
Iteration 22, Warp ID: 113, Weight: 1.00067499987457637e-03, CVs: pc1=1.00, pc2=73.35
Iteration 24, Warp ID: 106, Weight: 4.15719999936357777e-04, CVs: pc1=0.96, pc2=98.75
Iteration 24, Warp ID: 110, Weight: 1.10516299983081151e-04, CVs: pc1=0.98, pc2=30.49
Iteration 24, Warp ID: 111, Weight: 1.10516299983081151e-04, CVs: pc1=0.98, pc2=27.40
Iteration 26, Warp ID: 95, Weight: 1.10516299979335260e-04, CVs: pc1=0.86, pc2=38.29
Iteration 40, Warp ID: 106, Weight: 3.36683199744707972e-04, CVs: pc1=0.97, pc2=98.69
Iteration 40, Warp ID: 100, Weight: 4.18059599683003828e-03, CVs: pc1=0.93, pc2=53.40
