Iteration 15, Warp ID: 207, Weight: 1.73199799992331858e-06, CVs: pc1=0.92, pc2=174.45
Iteration 15, Warp ID: 209, Weight: 1.73199799992331858e-06, CVs: pc1=0.88, pc2=159.14
Iteration 16, Warp ID: 207, Weight: 1.28296099999999992e-07, CVs: pc1=0.88, pc2=113.89
Iteration 16, Warp ID: 209, Weight: 1.28296099999999992e-07, CVs: pc1=0.88, pc2=117.63
Iteration 16, Warp ID: 210, Weight: 4.27653699999999983e-08, CVs: pc1=0.90, pc2=132.59
Iteration 16, Warp ID: 211, Weight: 4.27653699999999983e-08, CVs: pc1=0.88, pc2=136.64
Iteration 16, Warp ID: 212, Weight: 4.27653699999999983e-08, CVs: pc1=0.90, pc2=116.30
Iteration 18, Warp ID: 223, Weight: 1.90038599988234361e-06, CVs: pc1=0.86, pc2=86.27
Iteration 18, Warp ID: 224, Weight: 1.90038599988234361e-06, CVs: pc1=0.86, pc2=106.79
Iteration 18, Warp ID: 230, Weight: 5.61295499994850157e-07, CVs: pc1=0.90, pc2=84.10
Iteration 18, Warp ID: 235, Weight: 2.13826900000000040e-08, CVs: pc1=0.90, pc2=173.73
Iteration 18, Warp ID: 236, Weight: 4.27653700000000049e-08, CVs: pc1=0.88, pc2=88.31
Iteration 18, Warp ID: 242, Weight: 1.09602999994992336e-06, CVs: pc1=0.88, pc2=171.51
Iteration 19, Warp ID: 238, Weight: 3.80077299969351255e-06, CVs: pc1=0.88, pc2=96.46
Iteration 19, Warp ID: 239, Weight: 3.80077299969351255e-06, CVs: pc1=0.88, pc2=86.36
Iteration 19, Warp ID: 240, Weight: 3.65343200000000029e-07, CVs: pc1=0.88, pc2=144.58
Iteration 19, Warp ID: 243, Weight: 5.88023899991826668e-07, CVs: pc1=0.91, pc2=142.69
Iteration 19, Warp ID: 252, Weight: 6.41480600000000056e-08, CVs: pc1=0.90, pc2=137.87
Iteration 20, Warp ID: 226, Weight: 1.87098500000000013e-07, CVs: pc1=0.90, pc2=157.55
Iteration 20, Warp ID: 239, Weight: 5.88023899990967141e-07, CVs: pc1=0.88, pc2=130.93
Iteration 20, Warp ID: 243, Weight: 3.16730999972628385e-06, CVs: pc1=0.92, pc2=111.46
Iteration 20, Warp ID: 214, Weight: 9.50193099953801747e-07, CVs: pc1=0.88, pc2=79.23
Iteration 21, Warp ID: 241, Weight: 2.35476799978964811e-06, CVs: pc1=0.90, pc2=112.85
Iteration 21, Warp ID: 251, Weight: 1.43731699989369782e-06, CVs: pc1=0.92, pc2=101.71
Iteration 22, Warp ID: 243, Weight: 1.29899799989985436e-06, CVs: pc1=0.96, pc2=149.82
Iteration 22, Warp ID: 244, Weight: 6.41480600000000056e-08, CVs: pc1=0.93, pc2=116.96
Iteration 22, Warp ID: 221, Weight: 1.87098500000000013e-07, CVs: pc1=0.90, pc2=104.40
Iteration 23, Warp ID: 238, Weight: 2.44750100000000063e-07, CVs: pc1=1.00, pc2=174.18
Iteration 23, Warp ID: 239, Weight: 2.44750100000000063e-07, CVs: pc1=0.98, pc2=172.92
Iteration 23, Warp ID: 223, Weight: 4.87124300000000018e-07, CVs: pc1=0.88, pc2=87.24
Iteration 24, Warp ID: 230, Weight: 1.62374800000000039e-07, CVs: pc1=0.88, pc2=126.34
Iteration 25, Warp ID: 228, Weight: 7.69108499954469538e-07, CVs: pc1=0.88, pc2=147.77
Iteration 26, Warp ID: 246, Weight: 4.05936899999999998e-08, CVs: pc1=0.88, pc2=99.98
Iteration 27, Warp ID: 253, Weight: 8.11873899999999963e-08, CVs: pc1=0.92, pc2=161.76
Iteration 28, Warp ID: 237, Weight: 3.40786600000000024e-07, CVs: pc1=0.88, pc2=155.63
Iteration 29, Warp ID: 236, Weight: 9.99716699760289963e-06, CVs: pc1=0.91, pc2=86.35
Iteration 29, Warp ID: 254, Weight: 1.70393299999999986e-07, CVs: pc1=0.92, pc2=157.88
Iteration 32, Warp ID: 241, Weight: 7.84774300000000066e-08, CVs: pc1=0.93, pc2=104.96
Iteration 32, Warp ID: 245, Weight: 3.92164900000000026e-08, CVs: pc1=0.88, pc2=165.33
Iteration 33, Warp ID: 231, Weight: 2.67957299917930642e-06, CVs: pc1=0.86, pc2=163.81
Iteration 35, Warp ID: 262, Weight: 1.31991900000000012e-10, CVs: pc1=0.92, pc2=174.44
Iteration 36, Warp ID: 247, Weight: 4.39973000000000020e-11, CVs: pc1=1.00, pc2=144.04
Iteration 36, Warp ID: 246, Weight: 4.39973000000000020e-11, CVs: pc1=0.96, pc2=167.97
Iteration 37, Warp ID: 251, Weight: 2.19986500000000010e-11, CVs: pc1=1.00, pc2=167.21
Iteration 38, Warp ID: 246, Weight: 1.09993200000000008e-11, CVs: pc1=0.88, pc2=138.85
Iteration 38, Warp ID: 252, Weight: 1.09993200000000008e-11, CVs: pc1=0.96, pc2=134.42
Iteration 41, Warp ID: 238, Weight: 3.66644099999999924e-12, CVs: pc1=0.88, pc2=167.95
Iteration 46, Warp ID: 223, Weight: 6.30249699820042761e-07, CVs: pc1=0.88, pc2=104.64
Iteration 50, Warp ID: 244, Weight: 3.24016499342457963e-05, CVs: pc1=0.88, pc2=60.38
Iteration 56, Warp ID: 234, Weight: 8.29201898763627456e-07, CVs: pc1=0.86, pc2=110.71
Iteration 58, Warp ID: 230, Weight: 2.24843900000000006e-07, CVs: pc1=0.88, pc2=152.61
Iteration 59, Warp ID: 246, Weight: 2.48761998992352224e-06, CVs: pc1=0.96, pc2=117.92
Iteration 60, Warp ID: 257, Weight: 4.44467100000000011e-08, CVs: pc1=0.88, pc2=128.77
