Iteration 3, Warp ID: 70, Weight: 1.37174199997428426e-03, CVs: pc1=0.97, pc2=0.92
Iteration 4, Warp ID: 81, Weight: 4.57247399990526576e-04, CVs: pc1=1.00, pc2=0.93
Iteration 4, Warp ID: 82, Weight: 4.57247399990526576e-04, CVs: pc1=1.00, pc2=0.72
Iteration 5, Warp ID: 79, Weight: 1.52415799996510101e-04, CVs: pc1=0.88, pc2=0.69
Iteration 5, Warp ID: 83, Weight: 1.52415799996510101e-04, CVs: pc1=0.94, pc2=0.84
Iteration 5, Warp ID: 84, Weight: 1.52415799996510101e-04, CVs: pc1=1.01, pc2=0.68
Iteration 6, Warp ID: 76, Weight: 8.23045299979172432e-03, CVs: pc1=0.89, pc2=0.35
Iteration 6, Warp ID: 84, Weight: 1.52415799996143044e-04, CVs: pc1=0.89, pc2=1.10
Iteration 6, Warp ID: 86, Weight: 7.62078999980715221e-05, CVs: pc1=0.94, pc2=0.54
Iteration 6, Warp ID: 90, Weight: 1.52415799996143044e-04, CVs: pc1=1.00, pc2=1.16
Iteration 7, Warp ID: 99, Weight: 5.08052599985791363e-05, CVs: pc1=0.95, pc2=0.91
Iteration 7, Warp ID: 104, Weight: 1.69350899995263790e-05, CVs: pc1=1.00, pc2=1.08
Iteration 8, Warp ID: 101, Weight: 2.54026299992148497e-05, CVs: pc1=0.93, pc2=1.01
Iteration 8, Warp ID: 102, Weight: 2.54026299992148497e-05, CVs: pc1=1.00, pc2=0.84
Iteration 8, Warp ID: 84, Weight: 5.08052599984296993e-05, CVs: pc1=0.87, pc2=1.08
Iteration 8, Warp ID: 92, Weight: 2.54026299992148497e-05, CVs: pc1=0.97, pc2=0.44
Iteration 9, Warp ID: 102, Weight: 2.40054899991800014e-03, CVs: pc1=0.92, pc2=0.45
Iteration 9, Warp ID: 105, Weight: 2.54026299991322741e-05, CVs: pc1=0.95, pc2=1.01
Iteration 9, Warp ID: 123, Weight: 1.27013199995661374e-05, CVs: pc1=0.95, pc2=0.94
Iteration 9, Warp ID: 124, Weight: 1.27013199995661374e-05, CVs: pc1=1.00, pc2=1.41
Iteration 10, Warp ID: 108, Weight: 5.64502899978689294e-05, CVs: pc1=0.97, pc2=1.14
Iteration 10, Warp ID: 123, Weight: 1.27013199995205077e-05, CVs: pc1=0.92, pc2=1.47
Iteration 11, Warp ID: 115, Weight: 1.81346599992433891e-04, CVs: pc1=0.95, pc2=1.45
Iteration 11, Warp ID: 116, Weight: 1.81346599992433891e-04, CVs: pc1=0.89, pc2=0.89
Iteration 12, Warp ID: 117, Weight: 9.87880099954449321e-06, CVs: pc1=0.92, pc2=0.74
Iteration 12, Warp ID: 119, Weight: 9.87880099954449321e-06, CVs: pc1=0.92, pc2=1.10
Iteration 12, Warp ID: 125, Weight: 7.71604899964421732e-04, CVs: pc1=0.97, pc2=1.11
